title,date,date_transformed,employer,location,salary,salary_copy,working_hours,day_of_week,month,min_salary,max_salary
Data Analyst,18 April,2024-04-18,Proactive Appointments,London,Salary negotiable,Salary negotiable,"Permanent, full-time",Thursday,April,3,3
Data Analyst,19 April,2024-04-19,Edwards Employment Solutions Ltd,Pleasley Vale,"£35,000 - £45,000 per annum",35000 - 45000 per annum,"Permanent, full-time",Friday,April,35000,45000
Data Analyst,15 April,2024-04-15,Adecco ,Nottingham,£450 per day,450 per day,"Contract, full-time",Monday,April,113400,0
Data Analyst,19 March,2024-03-19,MFK Recruitment,Luton,"£35,000 - £45,000 per annum",35000 - 45000 per annum,"Permanent, full-time",Tuesday,March,35000,45000
Data Analyst,18 April,2024-04-18,Jobheron ,Harrogate,"£22,000 - £25,000 per annum",22000 - 25000 per annum,"Permanent, full-time",Thursday,April,22000,25000
Data Analyst,28 March,2024-03-28,Eutopia Solutions ltd,Andover,"£35,000 - £40,000 per annum",35000 - 40000 per annum,"Permanent, full-time",Thursday,March,35000,40000
Data Analyst,9 April,2024-04-09,Sanderson,London,"£45,000 - £55,000 per annum",45000 - 55000 per annum,"Permanent, full-time",Tuesday,April,45000,55000
Data Analyst,3 April,2024-04-03,Robert Walters,Liverpool,"£40,000 - £45,000 per annum",40000 - 45000 per annum,"Permanent, full-time",Wednesday,April,40000,45000
Data Analyst,21 March,2024-03-21,ITSS Recruitment Ltd,Luton,"£30,000 - £40,000 per annum",30000 - 40000 per annum,"Permanent, full-time",Thursday,March,30000,40000
Data Analyst,19 April,2024-04-19,LWC Drinks,Manchester,Competitive salary,Competitive salary,"Permanent, full-time",Friday,April,1,1
Data Analyst,9 April,2024-04-09,Elevation Recruitment Group,Leicester,Salary negotiable,Salary negotiable,"Permanent, full-time",Tuesday,April,3,3
Data Analyst,2 days ago,2024-04-25,Adecco ,Ipswich,£15 - £17 per hour,15 - 17 per hour,"Temporary, full-time",Thursday,April,9360,10608
Data Analyst,16 April,2024-04-16,Reed,Bristol,"£30,000 - £40,000 per annum, inc benefits",30000 - 40000 per annum inc benefits,"Permanent, full-time",Tuesday,April,30000,40000
Data Analyst,22 March,2024-03-22,CEF - City Electrical Factors - IT,Meadowfield Industrial Estate,Competitive salary,Competitive salary,"Permanent, full-time",Friday,March,1,1
Data Analyst,9 April,2024-04-09,KD Recruitment Limited,Askham Bryan,"£33,525 - £36,618 per annum",33525 - 36618 per annum,"Permanent, full-time",Tuesday,April,33525,36618
Data Analyst,8 April,2024-04-08,Burton Bolton & Rose Recruitment Services Limited,Greenford,"£40,000 per annum",40000 per annum,"Permanent, full-time",Monday,April,40000,0
Data Analyst,Yesterday,2024-04-26,Sanderson,London,"£400 - £450 per day, inc benefits",400 - 450 per day inc benefits,"Permanent, full-time",Friday,April,100800,113400
Data Analyst ,3 days ago,2024-04-24,Belinda Roberts Ltd ,Bury,"£23,000 - £25,000 per annum",23000 - 25000 per annum,"Permanent, full-time",Wednesday,April,23000,25000
Data Analyst,2 days ago,2024-04-25,Hays Specialist Recruitment Limited,City of London,Salary negotiable,Salary negotiable,"Contract, full-time",Thursday,April,3,3
Data Analyst,5 June,2023-06-05,Sagacity ,London,Competitive salary,Competitive salary,"Permanent, full-time",Monday,June,1,1
Data Analyst ,19 April,2024-04-19,GMP Software Ltd,Ross-on-Wye,Competitive salary,Competitive salary,"Permanent, full-time",Friday,April,1,1
Marketing Data Analyst,9 April,2024-04-09,Harnham - Data & Analytics Recruitment,London,"£50,000 - £60,000 per annum",50000 - 60000 per annum,"Permanent, full-time",Tuesday,April,50000,60000
HR Data Analyst,15 April,2024-04-15,Robert Walters,West Midlands (Region),"£30,000 - £34,000 per annum",30000 - 34000 per annum,"Permanent, full-time",Monday,April,30000,34000
Behavioural Data Analyst,24 March,2024-03-24,Harnham - Data & Analytics Recruitment,London,"£45,000 - £55,000 per annum",45000 - 55000 per annum,"Permanent, full-time",Sunday,March,45000,55000
Behavioural Data Analyst,18 March,2024-03-18,Harnham - Data & Analytics Recruitment,London,"£45,000 - £55,000 per annum",45000 - 55000 per annum,"Permanent, full-time",Monday,March,45000,55000
Customer Data Analyst,29 March,2024-03-29,Sanderson,Southampton,£500 - £550 per day,500 - 550 per day,"Permanent, full-time",Friday,March,126000,138600
Graduate Data Analyst,8 April,2024-04-08,How to Job Ltd,London,"£35,000 - £40,000 per annum, OTE, inc benefits, negotiable",35000 - 40000 per annum OTE inc benefits negotiable,"Permanent, full-time",Monday,April,35000,40000
Product Data Analyst,12 April,2024-04-12,Rise Technical Recruitment Limited,Bristol,"£50,000 - £60,000 per annum",50000 - 60000 per annum,"Permanent, full-time",Friday,April,50000,60000
